,楼盘性质,楼盘单价,开发商名
994,底商,价格待定,杭州中南嘉伟置业有限公司
995,底商,均价 13000元/平,杭州众安盛隆鲤鱼门置业有限公司
996,底商,价格待定,杭州融欣房地产开发有限公司
997,别墅,总价 308(万/套),莱蒙置业（富阳）有限公司
998,商业类,均价 40000元/平,杭州世茂嘉年华置业有限公司
999,底商,均价 29500元/平,杭州余杭奥克斯古墩置业有限公司
1000,住宅,价格待定,杭州翡翠城房地产开发有限公司
1001,住宅,均价 35377元/平,杭州东胜置业有限公司
1002,住宅,均价 28600元/平,临安金基房地产开发有限公司
1003,住宅,价格待定,暂无信息
1004,住宅,价格待定,暂无信息
1005,商业类,价格待定,海联控股集团有限公司 
1006,写字楼,均价 23000元/平,杭州中栋房地产开发有限公司
1007,住宅,价格待定,杭州坤鑫置业有限公司
1008,住宅,均价 24200元/平,杭州旭都房地产开发有限公司
1009,住宅,价格待定,暂无信息
1010,商业类,均价 35000元/平,暂无信息
1011,住宅,均价 17000元/平,杭州碧锦置业有限公司
1012,商业,均价 40000元/平,杭州百年坊房地产开发有限公司
1013,别墅,总价 608(万/套),临安成龙房地产开发有限公司  
1014,底商,均价 28000元/平,杭州紫元康盛房地产开发有限公司
1015,底商,价格待定,杭州品富房地产开发有限公司
1016,底商,价格待定,杭州天马置业有限公司
1017,底商,均价 50000元/平,杭州世茂新领域房地产开发有限公司
1018,底商,总价 225(万/套),杭州滨通房地产开发有限公司
1019,商业,价格待定,嘉里置业（杭州）有限公司
1020,住宅,均价 19777元/平,杭州骏锦实业发展有限公司
1021,写字楼,均价 32000元/平,杭州振泽房地产开发有限公司
1022,住宅,总价 252(万/套),浙江德晨置业有限公司
1023,住宅,均价 18500元/平,杭州临盛置业有限公司
1024,住宅,均价 19800元/平,杭州景翔置业有限公司
1025,住宅,均价 18000元/平,杭州龙耀实业有限公司
1026,住宅,均价 16700元/平,杭州临安丰润置业有限公司
1027,住宅,均价 18500元/平,杭州天园置业有限公司
1028,住宅,均价 17536元/平,杭州国能房地产开发有限公司
1029,住宅,均价 16500元/平,浙江青山湖科研创新基地投资有限公司
1030,住宅,价格待定,杭州锦坤房地产开发有限公司
1031,商业类,均价 13000元/平,杭州群万置业有限公司
1032,住宅,均价 13500元/平,暂无信息
1033,别墅,总价 464(万/套),杭州盛都置业有限公司
1034,住宅,均价 20000元/平,暂无信息
1035,住宅,均价 21500元/平,海宁景科房地产开发有限公司
1036,住宅,均价 34028元/平,杭州金霖房地产开发有限公司
1037,别墅,总价 550(万/套),海宁景科房地产开发有限公司
1038,商业类,均价 30000元/平,杭州祥瑞汽车产业园开发有限公司
1039,别墅,总价 667(万/套),杭州金霖房地产开发有限公司
1040,住宅,均价 25909元/平,杭州保欣置业有限公司
1041,住宅,均价 18000元/平,杭州越秀房地产开发有限公司
1042,住宅,总价 546(万/套),暂无信息
1043,商业类,均价 42000元/平,暂无信息
1044,住宅,价格待定,杭州拱运房地产有限公司
1045,别墅,价格待定,杭州富阳天鸿置业投资有限公司
1046,别墅,价格待定,杭州金昇房地产开发有限公司
1047,住宅,均价 40400元/平,杭州金唐房地产开发有限公司
1048,商业类,总价 129(万/套),杭州资辉置业有限公司
1049,住宅,价格待定,杭州京辉置业有限公司
1050,商业类,均价 40000元/平,杭州钧德房地产开发有限公司
1051,住宅,均价 28500元/平,杭州科昇房地产开发有限公司
1052,底商,均价 55000元/平,杭州中润瑞丰置业有限公司
1053,住宅,均价 28800元/平,杭州科筑投资开发有限公司
1054,别墅,总价 750(万/套),杭州龙孜投资管理有限公司
1055,商业类,均价 11950元/平,浙江恒伟控股集团杭州生物科技有限公司
1056,住宅,均价 45000元/平,杭州龙孜投资管理有限公司
1057,住宅,均价 39800元/平,杭州星悦房地产开发有限公司
1058,商业类,均价 33000元/平,杭州杭盛房地产开发有限公司
1059,住宅,均价 19781元/平,杭州展骧实业有限公司
1060,别墅,价格待定,暂无信息
1061,住宅,总价 158(万/套),杭州龙湖房地产开发有限公司
1062,住宅,价格待定,杭州融歆房地产开发有限公司
1063,住宅,均价 34800元/平,杭州弘筑置业有限公司 
1064,别墅,总价 223(万/套),暂无信息
1065,住宅,均价 17000元/平,杭州碧盛置业有限公司
1066,住宅,均价 18500元/平,杭州地上房地产集团有限公司
1067,住宅,价格待定,杭州融鑫翰置业有限公司
1068,住宅,价格待定,杭州银弘实业有限责任公司
1069,住宅,均价 19592元/平,杭州鑫悦置业有限公司
1070,商业类,均价 33000元/平,杭州杭远房地产开发有限公司
1071,商业类,均价 28000元/平,杭州天佑农业科技有限公司
1072,商业,价格待定,杭州旅游投资发展有限公司
1073,住宅,价格待定,杭州上麟置业有限公司
1074,住宅,价格待定,浙江德鸿置业有限公司
1075,住宅,均价 25200元/平,杭州瀚源房地产开发有限责任公司
1076,住宅,价格待定,杭州辰祥房地产有限公司
1077,住宅,总价 310(万/套),杭州天同房地产开发有限公司
1078,别墅,总价 639(万/套),杭州天同房地产开发有限公司
1079,商业,价格待定,杭州威新房地产开发有限公司
1080,商业类,均价 18000元/平,杭州滨江盛元海岸房地产开发有限公司
1081,住宅,均价 47000元/平,杭州中海襄晟房地产有限公司
1082,别墅,价格待定,浙江德鸿置业有限公司
1083,住宅,价格待定,杭州滨保实业有限公司
1084,住宅,均价 45800元/平,杭州龙合实业有限公司
1085,住宅,总价 196(万/套),暂无信息
1086,住宅,均价 25200元/平,杭州融晅房地产开发有限公司
1087,住宅,均价 19700元/平,杭州临安融成置业有限公司
1088,住宅,均价 16300元/平,杭州锦临置业有限公司
1089,住宅,均价 19308元/平,暂无信息
1090,别墅,价格待定,杭州荣德置业有限公司
1091,别墅,价格待定,浙江新兰得置业有限公司
1092,住宅,均价 29000元/平,杭州新锦置业有限公司
1093,别墅,总价 586(万/套),杭州融晅房地产开发有限公司
1094,住宅,总价 320(万/套),杭州保亿湘越置业有限公司
1095,别墅,价格待定,杭州瑞成房地产开发有限公司
1096,住宅,均价 13200元/平,富汇房地产开发（富阳）有限公司
1097,别墅,总价 769(万/套),杭州科筑投资开发有限公司
1098,别墅,总价 424(万/套),杭州金实房地产开发有限公司
1099,别墅,总价 365(万/套),杭州临安融金置业有限公司
1100,住宅,价格待定,杭州荣德置业有限公司
1101,住宅,均价 13200元/平,杭州盛都置业有限公司
1102,别墅,总价 315(万/套),浙江清源房地产开发有限公司
1103,商业,总价 53(万/套),杭州富阳金启房地产开发有限公司
1104,别墅,总价 1113(万/套),杭州保亿湘越置业有限公司
1105,商业类,均价 40000元/平,杭州臻祥房地产开发有限公司
1106,别墅,总价 1110(万/套),开茂置业（杭州）有限公司
1107,别墅,价格待定,杭州越荣房地产开发有限公司
1108,住宅,均价 27205元/平,杭州龙程房地产开发有限公司
1109,住宅,均价 20300元/平,杭州天灿房地产开发有限公司
1110,别墅,价格待定,杭州润安置业有限公司
1111,住宅,均价 15000元/平,杭州绿城银湖置业有限公司
1112,商业,价格待定,杭州启富房地产开发有限公司
1113,别墅,价格待定,浙江南都置业有限公司
1114,住宅,价格待定,杭州祥生宜景房地产开发有限公司
1115,别墅,价格待定, 杭州祥生宜景房地产开发有限公司
1116,别墅,价格待定,杭州长龙置业有限公司
1117,写字楼,均价 13500元/平,杭州网新银湖科技有限公司
1118,住宅,均价 15300元/平,浙江恒伟控股集团杭州生物科技有限公司
1119,别墅,总价 300(万/套),杭州天灿房地产开发有限公司
1120,住宅,均价 21000元/平,杭州嘉辰房地产开发有限公司
1121,住宅,价格待定,杭州隽洋置业有限公司
1122,别墅,价格待定,杭州隽洋置业有限公司
1123,别墅,总价 1197(万/套),杭州绿城东和置业有限公司
1124,商业类,均价 21000元/平,杭州网新银湖科技有限公司
1125,别墅,总价 2408(万/套),绿地控股集团杭州东城房地产开发有限公司
1126,商业类,均价 34000元/平,杭州宸盛置业有限公司
1127,住宅,均价 12000元/平,杭州百恒置业有限公司
1128,别墅,总价 200(万/套),杭州百恒置业有限公司
1129,商业,价格待定,杭州东田上庭置业有限公司
1130,商业类,价格待定,暂无信息
1131,别墅,总价 376(万/套),杭州和谐置业有限公司
1132,商业,价格待定,杭州锦繁置业有限公司
1133,住宅,均价 16800元/平,富阳东润置业有限公司
1134,住宅,均价 30000元/平,杭州嘉辰房地产开发有限公司
1135,别墅,总价 920(万/套),杭州德信蜀山置业有限公司
1136,住宅,总价 261(万/套),杭州德信蜀山置业有限公司
1137,商业类,均价 29000元/平,杭州九居实业有限公司
1138,别墅,总价 372(万/套),浙江临安富源房地产开发有限公司
1139,住宅,均价 20000元/平,杭州万锦置业有限公司
1140,商业,价格待定,杭州奥克斯置业有限公司
1141,别墅,价格待定,杭州振明置业有限公司
1142,别墅,价格待定,杭州融大齐云置业有限公司
1143,别墅,价格待定,杭州丽湖房地产开发有限公司
1144,别墅,均价 46900元/平,杭州玉宸地产有限公司
1145,住宅,价格待定,建德碧桂园房地产开发有限公司
1146,住宅,均价 48600元/平,开茂置业（杭州）有限公司
1147,底商,价格待定,杭州金合置业有限公司
1148,住宅,价格待定,杭州惠余置业有限公司
1149,商业类,均价 31000元/平,杭州中豪水湘置业有限公司
1150,商业,价格待定,浙江恒发置业有限公司
1151,住宅,价格待定,桐庐励耘实业有限公司
1152,别墅,总价 451(万/套),杭州银弘实业有限责任公司
1153,别墅,总价 533(万/套),杭州万锦置业有限公司
1154,住宅,价格待定,杭州睿都置业有限公司
1155,别墅,价格待定,杭州睿都置业有限公司
1156,别墅,总价 568(万/套),杭州鑫悦置业有限公司
1157,住宅,均价 21000元/平,杭州富阳富茂置业有限公司
1158,住宅,均价 20000元/平,杭州华元房地产集团有限公司
1159,商业类,均价 21000元/平,杭州汇和置业有限公司
1160,别墅,总价 472(万/套),杭州仁河置业有限公司
1161,住宅,均价 22500元/平,杭州弘招城房地产开发有限公司
1162,住宅,均价 15000元/平,杭州易辰房地产开发有限公司
1163,别墅,价格待定,杭州冠富房地产开发有限公司
1164,住宅,总价 173(万/套),杭州金运房地产开发有限公司
1165,别墅,总价 412(万/套),杭州弘招城房地产开发有限公司
1166,住宅,价格待定,杭州宸盛置业有限公司
1167,住宅,总价 346(万/套),杭州滨宁房地产开发有限公司
1168,商业类,价格待定,杭州星澳置业有限公司
1169,别墅,总价 994(万/套),暂无信息
1170,商业类,价格待定,杭州旅游投资发展有限公司
1171,住宅,均价 38600元/平,杭州祥生弘程房地产开发有限公司
1172,别墅,价格待定,杭州祥生弘程房地产开发有限公司
1173,住宅,价格待定,杭州远东房地产开发有限公司
1174,住宅,均价 14000元/平,临安市城镇房地产开发有限公司
1175,商业类,均价 32000元/平,广宇集团股份有限公司
1176,别墅,总价 300(万/套),暂无信息
1177,住宅,均价 20500元/平,杭州北隆房地产开发有限公司
1178,住宅,均价 47768元/平,杭州保泓房地产开发有限公司
1179,别墅,总价 855(万/套),杭州景胜置业有限公司
1180,底商,价格待定,杭州贝利金都置业有限公司
1181,住宅,价格待定,杭州滨望房地产开发有限公司
1182,住宅,价格待定,杭州名宸置业有限公司
1183,住宅,总价 361(万/套),杭州锦翎置业有限公司
1184,住宅,价格待定,杭州康欣置业有限公司
1185,别墅,价格待定,杭州康欣置业有限公司
1186,住宅,均价 14000元/平,杭州春盛置业有限公司
1187,住宅,价格待定,联发集团联翔（杭州）房地产开发有限公司
1188,别墅,总价 684(万/套),联发集团联翔（杭州）房地产开发有限公司
1189,底商,均价 52000元/平,杭州盛寅房地产开发有限公司
1190,住宅,均价 21500元/平,杭州天林置业有限公司
1191,别墅,总价 450(万/套),杭州天林置业有限公司
1192,商业类,均价 90000元/平,杭州华联置业有限公司
1193,住宅,均价 18000元/平,杭州沛都房地产开发有限公司
1194,别墅,总价 444(万/套),杭州越秀房地产开发有限公司
1195,住宅,均价 16500元/平,暂无信息
1196,别墅,总价 380(万/套),杭州临安融成置业有限公司
1197,别墅,总价 2026(万/套),杭州融歆房地产开发有限公司
1198,住宅,均价 21000元/平,杭州富阳中庆房地产发展有限公司
1199,别墅,总价 803(万/套),杭州奥克斯置业有限公司
1200,住宅,价格待定,杭州萧山爱迪尔房地产有限公司
1201,住宅,均价 40800元/平,杭州泰都置业有限公司
1202,住宅,价格待定,杭州奥克斯置业有限公司
1203,住宅,均价 34200元/平,杭州港中旅城市发展有限公司
1204,住宅,均价 29000元/平,杭州世茂新体验房地产有限责任公司
1205,住宅,均价 21300元/平,金隅中铁诺德（杭州）房地产开发有限公司
1206,底商,均价 25000元/平,杭州创华置业有限公司
1207,住宅,均价 33000元/平,杭州科融置业有限公司
1208,商业,价格待定,杭州港联置业有限公司
1209,住宅,均价 22000元/平,杭州富阳利光和房地产开发有限公司
1210,住宅,均价 18962元/平,保亿临湖（杭州）置业有限公司
1211,住宅,均价 30200元/平,杭州龙荟房地产开发有限公司
1212,住宅,均价 72000元/平,暂无信息
1213,住宅,均价 18200元/平,杭州绿地锦城房地产开发有限公司
1214,别墅,总价 445(万/套),暂无信息
1215,住宅,均价 12500元/平,杭州富阳恒鑫房地产有限公司
1216,住宅,均价 20800元/平,杭州锦昊房地产开发有限公司
1217,商业类,均价 27000元/平,杭州德信蜀山置业有限公司
1218,住宅,均价 35000元/平,杭州萧山奥克斯置业有限公司
1219,住宅,均价 29700元/平,杭州华宇业瑞房地产开发有限公司
1220,别墅,总价 880(万/套),杭州华宇业瑞房地产开发有限公司
1221,商业类,均价 28000元/平,杭州华宇业瑞房地产开发有限公司
1222,住宅,均价 21200元/平,暂无信息
1223,别墅,总价 1104(万/套),杭州龙誉投资管理有限公司
1224,住宅,均价 20800元/平,杭州富云置业有限公司
1225,住宅,价格待定,杭州宸睿置业有限公司
1226,住宅,均价 22900元/平,杭州融辰置业有限公司
1227,住宅,均价 42000元/平,杭州滨悦房地产开发有限公司
1228,别墅,总价 650(万/套),杭州兰侨置业有限公司
1229,住宅,价格待定,杭州隽远置业有限公司
1230,别墅,价格待定,杭州隽远置业有限公司
1231,住宅,均价 12600元/平,杭州宇祥房地产开发有限公司
1232,别墅,总价 520(万/套),杭州市房地产开发集团有限公司
1233,别墅,价格待定,杭州绿城交投锦溪置业有限公司
1234,住宅,均价 35500元/平,杭州兰侨置业有限公司
1235,住宅,均价 21800元/平,杭州润昕置业有限公司
1236,别墅,总价 345(万/套),杭州润昕置业有限公司
1237,住宅,价格待定,杭州金硕房地产开发有限公司
1238,别墅,价格待定,杭州金硕房地产开发有限公司
1239,住宅,价格待定,杭州馨华园房地产开发有限公司
1240,别墅,总价 580(万/套),杭州馨华园房地产开发有限公司
1241,住宅,均价 70800元/平,杭州滨恒房地产开发有限公司
1242,住宅,均价 37846元/平,杭州仁祥房地产开发有限公司
1243,别墅,总价 895(万/套),杭州仁祥房地产开发有限公司
1244,住宅,价格待定,杭州融尚置地有限公司
1245,住宅,价格待定,杭州融祥置地有限公司
1246,住宅,均价 48000元/平,杭州金辰置业有限公司
1247,商业类,均价 20000元/平,杭州圆汇投资置业有限公司
1248,商业类,均价 36000元/平,杭州龙郦实业有限公司
1249,住宅,均价 30600元/平,杭州泷悦置业有限公司
1250,住宅,均价 28000元/平,暂无信息
1251,住宅,均价 39600元/平,杭州中宸城镇建设有限公司
1252,商业类,均价 33000元/平,杭州富力房地产开发有限公司
1253,住宅,均价 36100元/平,杭州富力房地产开发有限公司
1254,住宅,总价 175(万/套),浙江德璟置业有限公司
1255,住宅,均价 48100元/平,杭州绿城滨和置业有限公司
1256,住宅,均价 22596元/平,杭州翡翠城房地产开发有限公司
1257,住宅,价格待定,杭州益光房地产开发有限公司
1258,住宅,均价 35664元/平,杭州西曙置业有限公司
1259,别墅,总价 124(万/套),杭州盛建置业有限公司
1260,住宅,均价 25600元/平,杭州昌赫置业有限公司
1261,别墅,价格待定,杭州昌赫置业有限公司
1262,住宅,均价 46500元/平,杭州龙誉投资管理有限公司
1263,住宅,均价 28800元/平,中铁诺德（杭州）置业有限公司
1264,底商,价格待定,杭州星澳置业有限公司
1265,住宅,均价 18000元/平,杭州嘉正置业有限公司
1266,住宅,均价 25200元/平,杭州中建申杭房地产开发有限公司
1267,别墅,总价 693(万/套),杭州中建申杭房地产开发有限公司
1268,别墅,总价 480(万/套),桐庐碧辰置业有限公司
1269,住宅,均价 19500元/平,桐庐碧辰置业有限公司
1270,商业类,均价 15000元/平,杭州富阳金启房地产开发有限公司
1271,商业类,均价 24500元/平,杭州科融置业有限公司
1272,商业类,均价 32000元/平,浙江华联杭州湾创业有限公司
1273,住宅,价格待定,葛洲坝（杭州）房地产开发有限公司
1274,住宅,均价 21000元/平,杭州地上房地产集团有限公司
1275,住宅,均价 26600元/平,杭州临创置业有限公司
1276,别墅,总价 456(万/套),杭州临创置业有限公司
1277,住宅,均价 54011元/平,龙鼎房地产（杭州）有限公司
1278,住宅,均价 47973元/平,杭州中冶名锦房地产开发有限公司
1279,住宅,均价 38300元/平,杭州南兴房地产开发有限公司
1280,别墅,总价 624(万/套),杭州南兴房地产开发有限公司
1281,底商,均价 23000元/平,暂无信息
1282,住宅,均价 10000元/平,建德市乾潭商会大厦开发建设有限公司
1283,商业类,均价 29000元/平,杭州西太华坤生房地产有限公司
1284,住宅,均价 46500元/平,长淮信达地产有限公司
1285,住宅,均价 54264元/平,龙景房地产（杭州）有限公司
1286,住宅,均价 26500元/平,杭州润珹房地产开发有限公司
1287,住宅,均价 28193元/平,杭州创蜀房地产开发有限责任公司
1288,商业类,均价 41000元/平,杭州合威置业有限公司
1289,住宅,价格待定,杭州绿润置业有限公司
1290,住宅,价格待定,暂无信息
1291,住宅,价格待定,杭州承惠房地产开发有限公司
1292,别墅,价格待定,杭州通策宝群置业有限公司
1293,住宅,价格待定,杭州鑫怡置业有限公司
1294,别墅,价格待定,杭州鑫怡置业有限公司
1295,商业类,均价 13500元/平,浙江德璟置业有限公司
1296,商业类,均价 28000元/平,浙江星达置业有限公司
1297,住宅,价格待定,杭州中海海创房地产有限公司
1298,住宅,均价 15000元/平,临安园丁置业有限公司
1299,住宅,均价 25000元/平,杭州正梁置业有限公司
1300,别墅,总价 608(万/套),杭州正梁置业有限公司
1301,别墅,总价 1408.8(万/套),杭州德淼置业有限公司
1302,别墅,总价 560(万/套),浙江朝华房地产开发有限公司
1303,住宅,均价 17800元/平,杭州卓林置业有限公司
1304,住宅,价格待定,杭州融朗房地产开发有限公司
1305,住宅,价格待定,杭州德信润楠置业有限公司
1306,别墅,总价 951(万/套),杭州德信润楠置业有限公司
1307,住宅,均价 13600元/平,杭州萧山银城置业有限公司
1308,住宅,价格待定,杭州佳裕置业有限公司
1309,住宅,价格待定,淳安碧桂园房地产开发有限公司
1310,别墅,价格待定,淳安碧桂园房地产开发有限公司
1311,住宅,均价 18900元/平,杭州锦圆置业有限公司
1312,住宅,均价 19000元/平,杭州融伦置业有限公司
1313,住宅,均价 38500元/平,杭州丰涛置业有限公司
1314,住宅,均价 19700元/平,杭州弘利房地产开发有限公司
1315,别墅,总价 592(万/套),杭州弘利房地产开发有限公司
1316,住宅,均价 43427元/平,杭州锦府置业有限公司
1317,商业类,均价 20000元/平,杭州瑞胜置业有限公司
1318,住宅,均价 35000元/平,杭州首开润泰置业有限公司
1319,别墅,总价 1555.2(万/套),杭州首开润泰置业有限公司
1320,商业类,均价 15000元/平,金隅（杭州）房地产开发有限公司
1321,住宅,总价 363(万/套),杭州嘉裕房地产开发经营有限公司
1322,住宅,均价 23600元/平,中交美庐（杭州）置业有限公司
1323,别墅,价格待定,中交美庐（杭州）置业有限公司
1324,住宅,总价 115(万/套),中量建工股份有限公司
1325,住宅,均价 19000元/平,浙江朝华房地产开发有限公司
1326,商业类,均价 43000元/平,杭州国逸实业有限公司
1327,住宅,均价 15700元/平,杭州富阳瑞宸房地产有限公司
1328,别墅,总价 1167(万/套),杭州嘉裕房地产开发经营有限公司
1329,商业,价格待定,暂无信息
1330,住宅,均价 50000元/平,杭州绿城风华房地产开发有限公司
1331,住宅,价格待定,杭州西湖房地产集团有限公司
1332,别墅,总价 368(万/套),暂无信息
1333,住宅,均价 16800元/平,杭州德凯置业有限公司
1334,商业类,均价 12000元/平,杭州临安锦科实业投资有限公司
1335,别墅,总价 400(万/套),银城地产集团股份有限公司
1336,商业类,均价 16000元/平,杭州展骧实业有限公司
1337,别墅,总价 493(万/套),暂无信息
1338,住宅,均价 37500元/平,杭州滨原房地产开发有限公司
1339,住宅,均价 15600元/平,杭州香墅湾房地产开发有限公司
1340,别墅,总价 392(万/套),杭州香墅湾房地产开发有限公司
1341,住宅,总价 472(万/套),杭州滨乾房地产开发有限公司
1342,别墅,总价 440(万/套),杭州嘉怡置业有限公司
1343,别墅,总价 776(万/套),杭州西曙置业有限公司
1344,住宅,价格待定,杭州钰杭房地产开发有限公司
1345,住宅,均价 50204元/平,杭州杭天房地产开发有限公司
1346,别墅,总价 358(万/套),杭州越星房地产开发有限公司
1347,住宅,均价 46600元/平,杭州钰杭房地产开发有限公司
1348,住宅,均价 46000元/平,杭州京宏房地产开发有限公司
1349,别墅,均价 60600元/平,杭州京宏房地产开发有限公司
1350,住宅,均价 22500元/平,杭州富阳万达置业有限公司
1351,住宅,均价 46500元/平,杭州滨沁房地产开发有限公司
1352,住宅,价格待定,杭州世茂新领航房地产有限责任公司
1353,住宅,均价 18880元/平,杭州杭秀房地产开发有限公司
1354,别墅,总价 1260(万/套),杭州滨沁房地产开发有限公司
1355,别墅,总价 400(万/套),杭州杭秀房地产开发有限公司
1356,住宅,均价 25600元/平,杭州金越房地产开发有限公司
1357,住宅,均价 37500元/平,杭州绿城启兴置业有限公司
1358,别墅,总价 1047(万/套),杭州创蜀房地产开发有限责任公司
1359,别墅,价格待定,浙江国恒西溪置业有限公司
1360,住宅,均价 18300元/平,杭州嘉珺房地产开发有限公司
1361,住宅,均价 56000元/平,暂无信息
1362,别墅,总价 987(万/套),杭州茂国悦盈置业有限公司
1363,住宅,均价 22000元/平,杭州荣尚置业有限公司
1364,别墅,均价 45200元/平,杭州金越房地产开发有限公司
1365,住宅,均价 13667元/平,杭州萧山城区建设有限公司
1366,别墅,总价 551(万/套),临安园丁置业有限公司
1367,住宅,均价 37500元/平,杭州滨御房地产开发有限公司
1368,住宅,均价 18000元/平,杭州之江万固置业有限公司
1369,住宅,均价 36000元/平,杭州荣福置业有限公司
1370,别墅,均价 40000元/平,杭州荣福置业有限公司
1371,住宅,均价 37500元/平,杭州绿城浙帆置业有限公司
1372,住宅,均价 46500元/平,杭州港中旅钱江城市发展有限公司
1373,住宅,均价 33500元/平,杭州滨得房地产开发有限公司
1374,住宅,均价 49657元/平,杭州滨音企业管理有限公司
1375,住宅,均价 27800元/平,杭州临光房地产开发有限公司
1376,别墅,总价 443(万/套),杭州临光房地产开发有限公司
1377,住宅,价格待定,杭州融辉铭著实业有限公司
1378,住宅,均价 32500元/平,杭州锦瑜置业有限公司
1379,住宅,均价 11020元/平,杭州萧山华景川房地产开发有限公司
1380,住宅,均价 32200元/平,杭州锦澜置业有限公司
1381,住宅,价格待定,杭州临安同人置业有限公司
1382,住宅,均价 17000元/平,杭州临安龙兴房地产开发有限公司
1383,住宅,均价 56900元/平,杭州绿城致昇置业有限公司
1384,住宅,均价 20500元/平,杭州星信置业有限公司
1385,住宅,均价 27800元/平,杭州励东房地产开发有限公司
1386,住宅,均价 47000元/平,杭州滨博房地产开发有限公司
1387,住宅,价格待定,杭州鑫建辉实业有限公司
1388,住宅,均价 16300元/平,杭州鸿扬投资管理有限公司
1389,住宅,均价 24000元/平,杭州嘉玥房地产开发有限公司
1390,别墅,总价 397(万/套),杭州嘉玥房地产开发有限公司
1391,住宅,均价 40100元/平,杭州天钰房地产开发有限公司
1392,别墅,总价 775(万/套),杭州天钰房地产开发有限公司
1393,住宅,价格待定,杭州金虹置业有限公司
1394,住宅,均价 27700元/平,杭州星滨置业有限公司
1395,别墅,总价 483(万/套),杭州融伦置业有限公司
1396,住宅,均价 46500元/平,杭州骏兴置业有限公司
1397,住宅,均价 43179元/平,杭州金贤房地产开发有限公司
1398,住宅,均价 30489元/平,联发集团杭州联嘉房地产开发有限公司
1399,住宅,均价 33000元/平,杭州锦昱置业有限公司
1400,住宅,均价 44900元/平,杭州禹翔房地产开发有限公司
1401,住宅,均价 69800元/平,杭州滨融房地产开发有限公司
1402,住宅,均价 45000元/平,杭州嘉佑置业有限公司
1403,住宅,均价 56900元/平,杭州中海启晖房地产有限公司
1404,住宅,均价 47000元/平,杭州碧光房地产开发有限公司
1405,别墅,总价 676(万/套),杭州恒盛置业有限公司
1406,住宅,价格待定,杭州祥生宜信房地产开发有限公司
1407,住宅,均价 25000元/平,暂无信息
1408,住宅,均价 19800元/平,杭州星雨置业有限公司
1409,住宅,均价 30000元/平,杭州龙湖房地产开发有限公司
1410,住宅,均价 19000元/平,杭州光润置业有限公司
1411,住宅,均价 23000元/平,保亿丽光（杭州）置业有限公司
1412,住宅,均价 28500元/平,理想四维地产集团有限公司
1413,住宅,均价 10334元/平,杭州嘉灿房地产开发有限公司
1414,别墅,总价 389(万/套),杭州嘉灿房地产开发有限公司
1415,住宅,价格待定,杭州美润房地产有限公司
1416,商业类,均价 32000元/平,暂无信息
1417,住宅,均价 22000元/平,杭州明道房地产开发有限公司
1418,住宅,均价 22300元/平,浙江新广发置业有限公司
1419,住宅,均价 37500元/平,杭州融浩置业有限公司
1420,商业类,均价 20000元/平,嘉凯城城镇化建设发展（余杭闲林）有限公司
1421,别墅,总价 2765(万/套),杭州滨融房地产开发有限公司
1422,住宅,均价 37500元/平,保利（杭州）房地产开发有限公司
1423,住宅,均价 20800元/平,杭州铭筑房地产开发有限公司
1424,住宅,均价 19500元/平,杭州德信富东置业有限公司
1425,住宅,均价 28700元/平,杭州隽胜置业有限公司
1426,住宅,均价 28500元/平,杭州锦官置业有限公司
1427,别墅,总价 855(万/套),暂无信息
1428,住宅,均价 15100元/平,杭州九城置业有限公司
1429,住宅,均价 19800元/平,杭州隽伟置业有限公司
1430,住宅,均价 21000元/平,杭州桐恒置业有限公司
1431,住宅,均价 33000元/平,杭州北和置业有限公司
1432,别墅,总价 744(万/套),暂无信息
1433,住宅,均价 28000元/平,杭州卓越润达置业有限公司
1434,住宅,均价 30000元/平,杭州冬宇房地产开发有限公司
1435,住宅,均价 37500元/平,杭州元融坤房地产开发有限公司
1436,住宅,均价 30540元/平,杭州名城博园置业有限公司
1437,住宅,均价 21000元/平,浙江天都实业有限公司
1438,住宅,均价 47000元/平,杭州滨儒企业管理有限公司
1439,住宅,均价 34000元/平,暂无信息
1440,住宅,均价 37040元/平,杭州瀚置和悦实业发展有限公司
1441,住宅,均价 23047元/平,杭州兴湖置业有限公司
1442,住宅,均价 33400元/平,杭州北辰京诚置业有限公司
1443,别墅,总价 650(万/套),杭州北辰京诚置业有限公司
1444,住宅,均价 33000元/平,杭州滨丰房地产开发有限公司
1445,住宅,均价 40800元/平,杭州惠烜有限公司
1446,住宅,均价 20500元/平,杭州众安银湖房地产开发有限公司
1447,商业类,均价 35000元/平,暂无信息
1448,住宅,均价 20800元/平,暂无信息
1449,住宅,均价 18550元/平,杭州临安新都房地产开发有限公司
1450,住宅,均价 37500元/平,杭州星熙置业有限公司
1451,住宅,均价 23000元/平,杭州隽劲置业有限公司
1452,住宅,均价 20800元/平,杭州锦衡置业有限公司
1453,住宅,均价 15100元/平,杭州临安新都房地产开发有限公司
1454,住宅,均价 40500元/平,金隅瀚潮（杭州）房地产开发有限公司
1455,住宅,均价 42400元/平,杭州花创房地产开发有限公司
1456,商业类,均价 45000元/平,杭州融歆房地产开发有限公司
1457,商业类,均价 28500元/平,杭州科筑投资开发有限公司
1458,住宅,均价 23000元/平,杭州祥生宜远房地产开发有限公司
1459,住宅,均价 23000元/平,杭州隽恒置业有限公司
1460,住宅,均价 20563元/平,杭州绿城银湖置业有限公司
